unit,address,fulladdress,marketrent,unittype,Utilities benefit,Apply,updatedate,createdate
313,313 - 446 Kingscourt Dr.,313 - 446 Kingscourt Dr. Waterloo N3K 3R9,$630.00,1 Bed Apartment,,1,2021-11-15,2021-11-15
314,314 - 446 Kingscourt Dr.,314 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
315,315 - 446 Kingscourt Dr.,315 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
316,316 - 446 Kingscourt Dr.,316 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2021-11-15,2021-11-15
1,  1 - 436 Kingscourt Dr.,  1 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
2,  2 - 436 Kingscourt Dr.,  2 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
3,  3 - 436 Kingscourt Dr.,  3 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
4,  4 - 436 Kingscourt Dr.,  4 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
5,  5 - 436 Kingscourt Dr.,  5 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
6,  6 - 436 Kingscourt Dr.,  6 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
7,  7 - 436 Kingscourt Dr.,  7 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
8,  8 - 436 Kingscourt Dr.,  8 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
9,  9 - 436 Kingscourt Dr.,  9 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
